Frame_Name,Person,Camera_Angle,Frame_Number,Position
tom_1_frame46.jpg,tom_1,FO,frame46,P4
tom_2_frame117.jpg,tom_2,FO,frame117,P4
tom_3_frame70.jpg,tom_3,FO,frame70,P4
eric_1_frame86.jpg,eric_1,FO,frame86,P5
grant_frame299.jpg,grant,FO,frame299,P5
jess_1_frame174.jpg,jess_1,FO,frame174,P5
jess_2_frame711.jpg,jess_2,FO,frame711,P5
nick_1_frame39.jpg,nick_1,FO,frame39,P5
nick_2_frame42.jpg,nick_2,FO,frame42,P5
rob_1_frame3691.jpg,rob_1,FO,frame3691,P5
rob_2_frame58.jpg,rob_2,FO,frame58,P5
tom_2_frame128.jpg,tom_2,FO,frame128,P5
tom_3_frame79.jpg,tom_3,FO,frame79,P5
eric_1_frame90.jpg,eric_1,FO,frame90,P6
grant_frame329.jpg,grant,FO,frame329,P6
jess_1_frame185.jpg,jess_1,FO,frame185,P6
jess_2_frame733.jpg,jess_2,FO,frame733,P6
nick_1_frame41.jpg,nick_1,FO,frame41,P6
nick_2_frame43.jpg,nick_2,FO,frame43,P6
rob_1_frame2479.jpg,rob_1,FO,frame2479,P6
tom_2_frame131.jpg,tom_2,FO,frame131,P6
eric_1_frame95.jpg,eric_1,FO,frame95,P7
grant_frame340.jpg,grant,FO,frame340,P7
jess_1_frame190.jpg,jess_1,FO,frame190,P7
jess_2_frame741.jpg,jess_2,FO,frame741,P7
nick_2_frame44.jpg,nick_2,FO,frame44,P7
rob_1_frame86.jpg,rob_1,FO,frame86,P7
rob_2_frame65.jpg,rob_2,FO,frame65,P7
tom_1_frame0.jpg,tom_1,FO,frame0,P7
tom_2_frame134.jpg,tom_2,FO,frame134,P7
tom_3_frame83.jpg,tom_3,FO,frame83,P7
eric_1_frame99.jpg,eric_1,FO,frame99,P8
grant_frame360.jpg,grant,FO,frame360,P8
jess_1_frame53.jpg,jess_1,FO,frame53,P8
jess_2_frame769.jpg,jess_2,FO,frame769,P8
nick_1_frame43.jpg,nick_1,FO,frame43,P8
nick_2_frame46.jpg,nick_2,FO,frame46,P8
rob_1_frame694.jpg,rob_1,FO,frame694,P8
rob_2_frame68.jpg,rob_2,FO,frame68,P8
tom_1_frame55.jpg,tom_1,FO,frame55,P8
tom_2_frame140.jpg,tom_2,FO,frame140,P8
tom_3_frame86.jpg,tom_3,FO,frame86,P8
eric_1_frame105.jpg,eric_1,FO,frame105,P9
grant_frame395.jpg,grant,FO,frame395,P9
jess_1_frame56.jpg,jess_1,FO,frame56,P9
jess_2_frame791.jpg,jess_2,FO,frame791,P9
nick_1_frame46.jpg,nick_1,FO,frame46,P9
nick_2_frame49.jpg,nick_2,FO,frame49,P9
rob_1_frame3728.jpg,rob_1,FO,frame3728,P9
rob_2_frame75.jpg,rob_2,FO,frame75,P9
tom_1_frame57.jpg,tom_1,FO,frame57,P9
tom_2_frame147.jpg,tom_2,FO,frame147,P9
tom_3_frame91.jpg,tom_3,FO,frame91,P9
eric_1_frame132.jpg,eric_1,FO,frame132,P10
grant_frame455.jpg,grant,FO,frame455,P10
jess_1_frame238.jpg,jess_1,FO,frame238,P10
jess_2_frame857.jpg,jess_2,FO,frame857,P10
nick_1_frame51.jpg,nick_1,FO,frame51,P10
nick_2_frame54.jpg,nick_2,FO,frame54,P10
rob_1_frame3182.jpg,rob_1,FO,frame3182,P10
rob_2_frame88.jpg,rob_2,FO,frame88,P10
tom_1_frame83.jpg,tom_1,FO,frame83,P10
tom_2_frame208.jpg,tom_2,FO,frame208,P10
tom_3_frame141.jpg,tom_3,FO,frame141,P10
